date,total_ratings,overall_avg_total_ratings,30_day_avg_total_ratings,percentile_total_ratings,average_rating,overall_avg_rating,30_day_avg_rating,percentile_average_rating,unique_datasets,narrative_summary
2024-10-22,8,8.76,8.33,0.56,3.5,2.98,2.97,0.7,7,Yesterday was getting there and the vibes were great
2024-10-23,1,8.76,8.27,0.02,1.0,2.98,2.97,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-10-24,17,8.76,8.73,0.93,4.18,2.98,3.03,0.89,8,Yesterday was off the charts and the vibes were top notch
2024-10-25,8,8.76,8.6,0.56,3.5,2.98,3.06,0.7,7,Yesterday was getting there and the vibes were great
2024-10-26,3,8.76,8.43,0.14,3.67,2.98,3.05,0.77,3,Yesterday was very quiet and the vibes were great
2024-10-27,3,8.76,8.23,0.14,1.0,2.98,3.0,0.02,3,Yesterday was very quiet and the vibes were rock bottom
2024-10-28,22,8.76,8.77,0.97,4.14,2.98,3.01,0.88,6,Yesterday was off the charts and the vibes were top notch
2024-10-29,5,8.76,8.67,0.31,2.4,2.98,3.04,0.28,5,Yesterday was low-key and the vibes were below average
2024-10-30,7,8.76,8.83,0.48,3.71,2.98,3.13,0.79,7,Yesterday was somewhat active and the vibes were great
2024-10-31,8,8.76,8.93,0.56,2.75,2.98,3.1,0.39,8,Yesterday was getting there and the vibes were a bit off
2024-11-01,8,8.76,8.1,0.56,3.25,2.98,3.09,0.61,7,Yesterday was getting there and the vibes were solid
2024-11-02,1,8.76,7.77,0.02,5.0,2.98,3.17,0.98,1,Yesterday was dead quiet and the vibes were absolutely stellar
2024-11-03,6,8.76,7.63,0.4,4.33,2.98,3.2,0.92,6,Yesterday was somewhat active and the vibes were absolutely stellar
2024-11-04,4,8.76,7.67,0.22,4.5,2.98,3.23,0.94,4,Yesterday was pretty quiet and the vibes were absolutely stellar
2024-11-05,5,8.76,7.6,0.31,3.8,2.98,3.28,0.81,5,Yesterday was low-key and the vibes were top notch
2024-11-06,6,8.76,7.63,0.4,1.83,2.98,3.21,0.12,6,Yesterday was somewhat active and the vibes were not great
2024-11-07,3,8.76,7.4,0.14,3.67,2.98,3.21,0.77,3,Yesterday was very quiet and the vibes were great
2024-11-08,6,8.76,7.33,0.4,2.33,2.98,3.18,0.25,6,Yesterday was somewhat active and the vibes were below average
2024-11-09,4,8.76,7.17,0.22,2.0,2.98,3.14,0.15,4,Yesterday was pretty quiet and the vibes were not great
